date,country,cases,deaths,recovered
2020-01-01,Global,52340,423,41200
2020-02-01,Global,55120,445,43500
2020-03-01,Global,61800,502,48900
2020-04-01,Global,73500,598,58100
2020-05-01,Global,89200,725,70500
2020-06-01,Global,108600,882,85800
2020-07-01,Global,124300,1010,98200
2020-08-01,Global,135800,1103,107300
2020-09-01,Global,142500,1158,112600
2020-10-01,Global,146200,1188,115500
2020-11-01,Global,148900,1210,117600
2020-12-01,Global,150300,1221,118700
2021-01-01,Global,54800,441,43100
2021-02-01,Global,58200,469,46000
2021-03-01,Global,65400,528,51700
2021-04-01,Global,78900,637,62300
2021-05-01,Global,96500,779,76200
2021-06-01,Global,118300,955,93400
2021-07-01,Global,136700,1104,107900
2021-08-01,Global,149200,1205,117800
2021-09-01,Global,155800,1258,123000
2021-10-01,Global,159400,1287,125900
2021-11-01,Global,161800,1307,127800
2021-12-01,Global,163200,1318,128900
2022-01-01,Global,57200,458,45000
2022-02-01,Global,61500,493,48600
2022-03-01,Global,69800,559,55100
2022-04-01,Global,84500,677,66700
2022-05-01,Global,103800,831,81900
2022-06-01,Global,127600,1022,100700
2022-07-01,Global,148200,1187,116900
2022-08-01,Global,161500,1293,127400
2022-09-01,Global,168900,1353,133300
2022-10-01,Global,173200,1387,136700
2022-11-01,Global,176100,1411,139000
2022-12-01,Global,178000,1426,140400
2023-01-01,Global,59800,478,47100
2023-02-01,Global,64200,514,50700
2023-03-01,Global,72800,583,57500
2023-04-01,Global,88300,707,69700
2023-05-01,Global,108500,869,85600
2023-06-01,Global,133400,1068,105200
2023-07-01,Global,155100,1242,122300
2023-08-01,Global,169000,1353,133300
2023-09-01,Global,176800,1416,139500
2023-10-01,Global,181400,1452,143100
2023-11-01,Global,184500,1477,145600
2023-12-01,Global,186500,1493,147100
2024-01-01,Global,62400,499,49200
2024-02-01,Global,67100,537,52900
2024-03-01,Global,76200,610,60100
2024-04-01,Global,92500,741,73000
2024-05-01,Global,113800,911,89700
2024-06-01,Global,139900,1120,110300
2024-07-01,Global,162700,1303,128300
2024-08-01,Global,177200,1419,139700
2024-09-01,Global,185400,1484,146200
2024-10-01,Global,190200,1523,149900
2024-11-01,Global,193500,1549,152500
2024-12-01,Global,195600,1566,154200
2025-01-01,Global,65100,521,51300
2025-02-01,Global,70200,562,55300
2025-03-01,Global,79800,639,62900
