date,country,cases,deaths,recovered
2020-01-01,Global,78500,12300,58200
2020-02-01,Global,82100,12900,60900
2020-03-01,Global,86200,13500,63900
2020-04-01,Global,94800,14900,70300
2020-05-01,Global,105600,16600,78300
2020-06-01,Global,118900,18700,88200
2020-07-01,Global,134500,21100,99700
2020-08-01,Global,147200,23100,109200
2020-09-01,Global,155800,24500,115500
2020-10-01,Global,160300,25200,118900
2020-11-01,Global,163400,25700,121200
2020-12-01,Global,165200,25900,122600
2021-01-01,Global,82300,12900,61100
2021-02-01,Global,86100,13500,63900
2021-03-01,Global,90500,14200,67100
2021-04-01,Global,99600,15600,73900
2021-05-01,Global,111000,17400,82300
2021-06-01,Global,125100,19600,92800
2021-07-01,Global,141500,22200,104900
2021-08-01,Global,154800,24300,114800
2021-09-01,Global,163800,25700,121500
2021-10-01,Global,168600,26500,125000
2021-11-01,Global,171900,27000,127500
2021-12-01,Global,173800,27300,128900
2022-01-01,Global,85200,13400,63200
2022-02-01,Global,89100,14000,66100
2022-03-01,Global,93800,14700,69600
2022-04-01,Global,103200,16200,76600
2022-05-01,Global,115100,18100,85400
2022-06-01,Global,129700,20400,96200
2022-07-01,Global,146800,23100,108900
2022-08-01,Global,160600,25200,119100
2022-09-01,Global,169800,26700,126000
2022-10-01,Global,174900,27500,129800
2022-11-01,Global,178300,28000,132300
2022-12-01,Global,180400,28300,133900
2023-01-01,Global,88400,13900,65600
2023-02-01,Global,92500,14500,68600
2023-03-01,Global,97300,15300,72200
2023-04-01,Global,107100,16800,79500
2023-05-01,Global,119500,18800,88600
2023-06-01,Global,134700,21200,99900
2023-07-01,Global,152500,23900,113100
2023-08-01,Global,166800,26200,123800
2023-09-01,Global,176300,27700,130800
2023-10-01,Global,181600,28500,134700
2023-11-01,Global,185100,29100,137300
2023-12-01,Global,187300,29400,138900
2024-01-01,Global,91800,14400,68100
2024-02-01,Global,96100,15100,71300
2024-03-01,Global,101100,15900,75000
2024-04-01,Global,111300,17500,82600
2024-05-01,Global,124200,19500,92100
2024-06-01,Global,140000,22000,103800
2024-07-01,Global,158500,24900,117600
2024-08-01,Global,173300,27200,128500
2024-09-01,Global,183200,28800,135900
2024-10-01,Global,188700,29600,140000
2024-11-01,Global,192400,30200,142700
2024-12-01,Global,194700,30600,144400
2025-01-01,Global,95400,15000,70800
2025-02-01,Global,99900,15700,74100
2025-03-01,Global,105100,16500,78000
